Loss_Type,Train_Time,In_Dist_MSE,Interp_MSE,Extrap_MSE,In_Dist_R2,Interp_R2,Extrap_R2
MAE,377.0047,0.0022,0.0002,0.0206,0.9978,0.9998,0.9800
MSE,212.4906,0.0071,0.0029,0.0342,0.9931,0.9973,0.9669
